
Host: Edens-MacBook-Air.local

Timers On : Wed Jul 21 01:11:10 2021
Timers Off: Wed Jul 21 01:12:01 2021

Wall Time:       51.47 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
HF: DIIS                            :      0.000u      0.000s      0.004w      4 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.001w      4 calls
| DIISManager::extrapolate          :      0.000u      0.000s      0.000w      4 calls
| | bMatrix setup                   :      0.000u      0.000s      0.000w      4 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.000w      4 calls
| | New vector                      :      0.000u      0.000s      0.000w      4 calls
HF: Form C                          :      0.000u      0.000s      0.000w      4 calls
CIWave: CIvect write                :      0.000u      0.000s      0.000w     36 calls
CIWave: CIvect read                 :      0.000u      0.000s      0.000w    104 calls
CIWave: s2                          :      0.000u      0.000s      0.000w      6 calls
CIWave: s3                          :      0.000u      0.000s      0.000w     12 calls

**************************************************************************************

Host: Edens-MacBook-Air.local

Timers On : Wed Jul 21 01:12:16 2021
Timers Off: Wed Jul 21 01:15:10 2021

Wall Time:      174.31 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: Edens-MacBook-Air.local

Timers On : Wed Jul 21 00:28:45 2021
Timers Off: Wed Jul 21 01:25:35 2021

Wall Time:     3409.55 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      7.917u      0.167s      5.356w    414 calls
DFH: initialize()                   :     25.567u      1.283s     18.748w    414 calls
DFH: AO Construction                :      0.733u      0.000s      0.527w    414 calls
DFH: AO-Met. Contraction            :      0.033u      0.000s      0.033w    414 calls
HF: Form core H                     :      0.217u      1.417s      1.285w    414 calls
HF: Form S/X                        :      0.067u      0.033s      0.069w    414 calls
HF: Guess                           :     54.400u      2.317s     40.779w    414 calls
SAD Guess                           :     52.433u      2.250s     39.351w    414 calls
HF: Form G                          :      2.300u      0.367s      1.671w  11400 calls
JK: D                               :      0.133u      0.067s      0.137w  11400 calls
JK: USO2AO                          :      0.400u      0.017s      0.230w  11400 calls
JK: JK                              :      1.133u      0.167s      0.785w  11400 calls
DFH: compute_JK()                   :      1.067u      0.100s      0.710w  11400 calls
DFH: Grabbing AOs                   :      0.083u      0.000s      0.021w  11400 calls
DFH: compute_J                      :      0.233u      0.033s      0.205w  11400 calls
DFH: compute_K                      :      0.550u      0.017s      0.299w  11400 calls
JK: AO2USO                          :      0.133u      0.017s      0.115w  11400 calls
HF: Form F                          :      0.050u      0.067s      0.136w  11400 calls
HF: Form D                          :      0.133u      0.000s      0.094w  11400 calls
HF: DIIS                            :     14.750u      1.983s     11.200w  10986 calls
DIISManager::add_entry              :      0.433u      0.983s      0.919w  10986 calls
DIISManager::extrapolate            :      1.733u      0.750s      1.952w  10986 calls
bMatrix setup                       :      0.483u      0.400s      0.784w  10986 calls
bMatrix pseudoinverse               :      0.883u      0.050s      0.582w  10986 calls
New vector                          :      0.233u      0.217s      0.436w  10986 calls
HF: Form C                          :      0.650u      0.067s      0.547w  10986 calls
CIWave: CIvect write                :      0.033u      0.100s      0.048w   2890 calls
CIWave: CIvect read                 :      0.017u      0.067s      0.066w  14070 calls
CIWave: s2                          :      0.017u      0.000s      0.007w   1213 calls
CIWave: s3                          :      0.033u      0.017s      0.023w   4234 calls
ccenergy                            :     11.350u     51.417s     45.335w     73 calls
F build                             :      0.417u      0.517s      0.576w    752 calls
Wmbej build                         :      0.583u      0.383s      0.654w    752 calls
C->Wmbej                            :      0.050u      0.100s      0.065w    752 calls
F->Wmbej                            :      0.150u      0.067s      0.154w    752 calls
E->Wmbej                            :      0.100u      0.083s      0.159w    752 calls
X->Wmbej                            :      0.233u      0.100s      0.232w    752 calls
Z                                   :      0.000u      0.017s      0.042w    752 calls
T2 Build                            :      1.417u      0.883s      1.414w    752 calls
BT2                                 :      0.217u      0.067s      0.195w    752 calls
ABCD:new                            :      0.217u      0.067s      0.189w    752 calls
ABCD:S                              :      0.050u      0.000s      0.032w    752 calls
ABCD:A                              :      0.017u      0.033s      0.028w    752 calls
ABCD:axpy                           :      0.033u      0.000s      0.032w    752 calls
FT2                                 :      0.033u      0.017s      0.060w    752 calls
WmbejT2                             :      0.250u      0.250s      0.301w    752 calls
CT2                                 :      0.567u      0.333s      0.558w    752 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      7.917u      0.167s      5.356w    414 calls
DFH: initialize()                   :     25.567u      1.283s     18.748w    414 calls
| DFH: AO Construction              :      0.733u      0.000s      0.527w    414 calls
| DFH: AO-Met. Contraction          :      0.033u      0.000s      0.033w    414 calls
HF: Form core H                     :      0.217u      1.417s      1.285w    414 calls
HF: Form S/X                        :      0.067u      0.033s      0.069w    414 calls
HF: Guess                           :     54.400u      2.317s     40.779w    414 calls
| SAD Guess                         :     52.433u      2.250s     39.351w    414 calls
HF: Form G                          :      2.300u      0.367s      1.671w  11400 calls
| JK: D                             :      0.133u      0.067s      0.137w  11400 calls
| JK: USO2AO                        :      0.400u      0.017s      0.230w  11400 calls
| JK: JK                            :      1.133u      0.167s      0.785w  11400 calls
| | DFH: compute_JK()               :      1.067u      0.100s      0.710w  11400 calls
| | | DFH: Grabbing AOs             :      0.083u      0.000s      0.021w  11400 calls
| | | DFH: compute_J                :      0.233u      0.033s      0.205w  11400 calls
| | | DFH: compute_K                :      0.550u      0.017s      0.299w  11400 calls
| JK: AO2USO                        :      0.133u      0.017s      0.115w  11400 calls
HF: Form F                          :      0.050u      0.067s      0.136w  11400 calls
HF: Form D                          :      0.133u      0.000s      0.094w  11400 calls
HF: DIIS                            :     14.750u      1.983s     11.200w  10986 calls
| DIISManager::add_entry            :      0.433u      0.983s      0.919w  10986 calls
| DIISManager::extrapolate          :      1.733u      0.750s      1.952w  10986 calls
| | bMatrix setup                   :      0.483u      0.400s      0.784w  10986 calls
| | bMatrix pseudoinverse           :      0.883u      0.050s      0.582w  10986 calls
| | New vector                      :      0.233u      0.217s      0.436w  10986 calls
HF: Form C                          :      0.650u      0.067s      0.547w  10986 calls
CIWave: CIvect write                :      0.033u      0.100s      0.048w   2890 calls
CIWave: CIvect read                 :      0.017u      0.067s      0.066w  14070 calls
CIWave: s2                          :      0.017u      0.000s      0.007w   1213 calls
CIWave: s3                          :      0.033u      0.017s      0.023w   4234 calls
ccenergy                            :     11.350u     51.417s     45.335w     73 calls
| F build                           :      0.417u      0.517s      0.576w    752 calls
| Wmbej build                       :      0.583u      0.383s      0.654w    752 calls
| | C->Wmbej                        :      0.050u      0.100s      0.065w    752 calls
| | F->Wmbej                        :      0.150u      0.067s      0.154w    752 calls
| | E->Wmbej                        :      0.100u      0.083s      0.159w    752 calls
| | X->Wmbej                        :      0.233u      0.100s      0.232w    752 calls
| Z                                 :      0.000u      0.017s      0.042w    752 calls
| T2 Build                          :      1.417u      0.883s      1.414w    752 calls
| | BT2                             :      0.217u      0.067s      0.195w    752 calls
| | | ABCD:new                      :      0.217u      0.067s      0.189w    752 calls
| | | | ABCD:S                      :      0.050u      0.000s      0.032w    752 calls
| | | | ABCD:A                      :      0.017u      0.033s      0.028w    752 calls
| | | | ABCD:axpy                   :      0.033u      0.000s      0.032w    752 calls
| | FT2                             :      0.033u      0.017s      0.060w    752 calls
| | WmbejT2                         :      0.250u      0.250s      0.301w    752 calls
| | CT2                             :      0.567u      0.333s      0.558w    752 calls

**************************************************************************************

Host: Edens-MacBook-Air.local

Timers On : Wed Jul 21 02:15:14 2021
Timers Off: Wed Jul 21 02:16:49 2021

Wall Time:       95.06 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.667u      0.000s      0.467w     45 calls
DFH: initialize()                   :      2.733u      0.167s      1.862w     45 calls
DFH: AO Construction                :      0.117u      0.017s      0.108w     45 calls
DFH: AO-Met. Contraction            :      0.017u      0.000s      0.009w     45 calls
HF: Form core H                     :      0.000u      0.117s      0.134w     45 calls
HF: Form S/X                        :      0.017u      0.000s      0.008w     45 calls
HF: Guess                           :      3.433u      0.117s      2.269w     45 calls
SAD Guess                           :      3.300u      0.117s      2.141w     45 calls
HF: Form G                          :      0.050u      0.000s      0.032w    201 calls
JK: D                               :      0.000u      0.000s      0.003w    201 calls
JK: USO2AO                          :      0.000u      0.000s      0.004w    201 calls
JK: JK                              :      0.050u      0.000s      0.018w    201 calls
DFH: compute_JK()                   :      0.050u      0.000s      0.017w    201 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    201 calls
DFH: compute_J                      :      0.000u      0.000s      0.004w    201 calls
DFH: compute_K                      :      0.050u      0.000s      0.009w    201 calls
JK: AO2USO                          :      0.000u      0.000s      0.002w    201 calls
HF: Form F                          :      0.000u      0.000s      0.002w    201 calls
HF: Form D                          :      0.000u      0.000s      0.001w    201 calls
HF: DIIS                            :      0.150u      0.033s      0.140w    156 calls
DIISManager::add_entry              :      0.000u      0.017s      0.031w    156 calls
DIISManager::extrapolate            :      0.033u      0.000s      0.011w    156 calls
bMatrix setup                       :      0.000u      0.000s      0.003w    156 calls
bMatrix pseudoinverse               :      0.033u      0.000s      0.005w    156 calls
New vector                          :      0.000u      0.000s      0.002w    156 calls
HF: Form C                          :      0.017u      0.000s      0.006w    156 calls
CIWave: CIvect write                :      0.000u      0.017s      0.004w    330 calls
CIWave: CIvect read                 :      0.000u      0.017s      0.005w   1177 calls
CIWave: s2                          :      0.000u      0.000s      0.001w    135 calls
CIWave: s3                          :      0.000u      0.000s      0.001w    405 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.667u      0.000s      0.467w     45 calls
DFH: initialize()                   :      2.733u      0.167s      1.862w     45 calls
| DFH: AO Construction              :      0.117u      0.017s      0.108w     45 calls
| DFH: AO-Met. Contraction          :      0.017u      0.000s      0.009w     45 calls
HF: Form core H                     :      0.000u      0.117s      0.134w     45 calls
HF: Form S/X                        :      0.017u      0.000s      0.008w     45 calls
HF: Guess                           :      3.433u      0.117s      2.269w     45 calls
| SAD Guess                         :      3.300u      0.117s      2.141w     45 calls
HF: Form G                          :      0.050u      0.000s      0.032w    201 calls
| JK: D                             :      0.000u      0.000s      0.003w    201 calls
| JK: USO2AO                        :      0.000u      0.000s      0.004w    201 calls
| JK: JK                            :      0.050u      0.000s      0.018w    201 calls
| | DFH: compute_JK()               :      0.050u      0.000s      0.017w    201 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    201 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.004w    201 calls
| | | DFH: compute_K                :      0.050u      0.000s      0.009w    201 calls
| JK: AO2USO                        :      0.000u      0.000s      0.002w    201 calls
HF: Form F                          :      0.000u      0.000s      0.002w    201 calls
HF: Form D                          :      0.000u      0.000s      0.001w    201 calls
HF: DIIS                            :      0.150u      0.033s      0.140w    156 calls
| DIISManager::add_entry            :      0.000u      0.017s      0.031w    156 calls
| DIISManager::extrapolate          :      0.033u      0.000s      0.011w    156 calls
| | bMatrix setup                   :      0.000u      0.000s      0.003w    156 calls
| | bMatrix pseudoinverse           :      0.033u      0.000s      0.005w    156 calls
| | New vector                      :      0.000u      0.000s      0.002w    156 calls
HF: Form C                          :      0.017u      0.000s      0.006w    156 calls
CIWave: CIvect write                :      0.000u      0.017s      0.004w    330 calls
CIWave: CIvect read                 :      0.000u      0.017s      0.005w   1177 calls
CIWave: s2                          :      0.000u      0.000s      0.001w    135 calls
CIWave: s3                          :      0.000u      0.000s      0.001w    405 calls

**************************************************************************************

Host: Edens-MacBook-Air.local

Timers On : Wed Jul 21 02:18:26 2021
Timers Off: Wed Jul 21 02:18:51 2021

Wall Time:       25.53 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: Edens-MacBook-Air.local

Timers On : Wed Jul 21 03:10:29 2021
Timers Off: Wed Jul 21 03:31:25 2021

Wall Time:     1255.60 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      9.233u      0.133s      7.006w    543 calls
DFH: initialize()                   :     30.033u      1.733s     23.625w    543 calls
DFH: AO Construction                :      0.650u      0.033s      0.551w    543 calls
DFH: AO-Met. Contraction            :      0.100u      0.000s      0.030w    543 calls
HF: Form core H                     :      0.317u      1.733s      1.628w    543 calls
HF: Form S/X                        :      0.117u      0.033s      0.120w    543 calls
HF: Guess                           :     63.950u      2.500s     51.314w    543 calls
SAD Guess                           :     61.483u      2.433s     49.479w    543 calls
HF: Form G                          :      0.583u      0.067s      0.528w   3187 calls
JK: D                               :      0.067u      0.000s      0.060w   3187 calls
JK: USO2AO                          :      0.100u      0.000s      0.075w   3187 calls
JK: JK                              :      0.300u      0.033s      0.225w   3187 calls
DFH: compute_JK()                   :      0.267u      0.017s      0.201w   3187 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.008w   3187 calls
DFH: compute_J                      :      0.100u      0.000s      0.060w   3187 calls
DFH: compute_K                      :      0.067u      0.000s      0.079w   3187 calls
JK: AO2USO                          :      0.033u      0.017s      0.036w   3187 calls
HF: Form F                          :      0.150u      0.000s      0.048w   3187 calls
HF: Form D                          :      0.017u      0.000s      0.028w   3187 calls
HF: DIIS                            :      3.500u      0.833s      3.371w   2644 calls
DIISManager::add_entry              :      0.200u      0.550s      0.679w   2644 calls
DIISManager::extrapolate            :      0.333u      0.150s      0.358w   2644 calls
bMatrix setup                       :      0.083u      0.033s      0.114w   2644 calls
bMatrix pseudoinverse               :      0.117u      0.000s      0.138w   2644 calls
New vector                          :      0.100u      0.050s      0.070w   2644 calls
HF: Form C                          :      0.183u      0.000s      0.130w   2644 calls
CIWave: CIvect write                :      0.250u      0.733s      0.764w  32562 calls
CIWave: CIvect read                 :      1.967u      1.433s      2.861w 394305 calls
CIWave: s2                          :      0.200u      0.033s      0.331w  53536 calls
CIWave: s3                          :      1.117u      0.783s      1.614w 194282 calls
CIWave: s3_mt                       :      0.233u      0.183s      0.445w 176250 calls
ccenergy                            :     11.967u     56.033s     51.375w     90 calls
F build                             :      0.367u      0.467s      0.537w    838 calls
Wmbej build                         :      0.567u      0.317s      0.609w    838 calls
C->Wmbej                            :      0.067u      0.033s      0.060w    838 calls
F->Wmbej                            :      0.117u      0.067s      0.150w    838 calls
E->Wmbej                            :      0.117u      0.100s      0.148w    838 calls
X->Wmbej                            :      0.167u      0.117s      0.203w    838 calls
Z                                   :      0.017u      0.050s      0.031w    838 calls
T2 Build                            :      1.400u      0.617s      1.462w    838 calls
BT2                                 :      0.233u      0.083s      0.214w    838 calls
ABCD:new                            :      0.233u      0.083s      0.209w    838 calls
ABCD:S                              :      0.033u      0.017s      0.037w    838 calls
ABCD:A                              :      0.050u      0.033s      0.033w    838 calls
ABCD:axpy                           :      0.050u      0.000s      0.044w    838 calls
FT2                                 :      0.067u      0.067s      0.062w    838 calls
WmbejT2                             :      0.200u      0.217s      0.305w    838 calls
CT2                                 :      0.583u      0.167s      0.553w    838 calls
CIWave: s1                          :      0.050u      0.133s      0.125w  48750 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      9.233u      0.133s      7.006w    543 calls
DFH: initialize()                   :     30.033u      1.733s     23.625w    543 calls
| DFH: AO Construction              :      0.650u      0.033s      0.551w    543 calls
| DFH: AO-Met. Contraction          :      0.100u      0.000s      0.030w    543 calls
HF: Form core H                     :      0.317u      1.733s      1.628w    543 calls
HF: Form S/X                        :      0.117u      0.033s      0.120w    543 calls
HF: Guess                           :     63.950u      2.500s     51.314w    543 calls
| SAD Guess                         :     61.483u      2.433s     49.479w    543 calls
HF: Form G                          :      0.583u      0.067s      0.528w   3187 calls
| JK: D                             :      0.067u      0.000s      0.060w   3187 calls
| JK: USO2AO                        :      0.100u      0.000s      0.075w   3187 calls
| JK: JK                            :      0.300u      0.033s      0.225w   3187 calls
| | DFH: compute_JK()               :      0.267u      0.017s      0.201w   3187 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.008w   3187 calls
| | | DFH: compute_J                :      0.100u      0.000s      0.060w   3187 calls
| | | DFH: compute_K                :      0.067u      0.000s      0.079w   3187 calls
| JK: AO2USO                        :      0.033u      0.017s      0.036w   3187 calls
HF: Form F                          :      0.150u      0.000s      0.048w   3187 calls
HF: Form D                          :      0.017u      0.000s      0.028w   3187 calls
HF: DIIS                            :      3.500u      0.833s      3.371w   2644 calls
| DIISManager::add_entry            :      0.200u      0.550s      0.679w   2644 calls
| DIISManager::extrapolate          :      0.333u      0.150s      0.358w   2644 calls
| | bMatrix setup                   :      0.083u      0.033s      0.114w   2644 calls
| | bMatrix pseudoinverse           :      0.117u      0.000s      0.138w   2644 calls
| | New vector                      :      0.100u      0.050s      0.070w   2644 calls
HF: Form C                          :      0.183u      0.000s      0.130w   2644 calls
CIWave: CIvect write                :      0.250u      0.733s      0.764w  32562 calls
CIWave: CIvect read                 :      1.967u      1.433s      2.861w 394305 calls
CIWave: s2                          :      0.200u      0.033s      0.331w  53536 calls
CIWave: s3                          :      1.117u      0.783s      1.614w 194282 calls
| CIWave: s3_mt                     :      0.233u      0.183s      0.445w 176250 calls
ccenergy                            :     11.967u     56.033s     51.375w     90 calls
| F build                           :      0.367u      0.467s      0.537w    838 calls
| Wmbej build                       :      0.567u      0.317s      0.609w    838 calls
| | C->Wmbej                        :      0.067u      0.033s      0.060w    838 calls
| | F->Wmbej                        :      0.117u      0.067s      0.150w    838 calls
| | E->Wmbej                        :      0.117u      0.100s      0.148w    838 calls
| | X->Wmbej                        :      0.167u      0.117s      0.203w    838 calls
| Z                                 :      0.017u      0.050s      0.031w    838 calls
| T2 Build                          :      1.400u      0.617s      1.462w    838 calls
| | BT2                             :      0.233u      0.083s      0.214w    838 calls
| | | ABCD:new                      :      0.233u      0.083s      0.209w    838 calls
| | | | ABCD:S                      :      0.033u      0.017s      0.037w    838 calls
| | | | ABCD:A                      :      0.050u      0.033s      0.033w    838 calls
| | | | ABCD:axpy                   :      0.050u      0.000s      0.044w    838 calls
| | FT2                             :      0.067u      0.067s      0.062w    838 calls
| | WmbejT2                         :      0.200u      0.217s      0.305w    838 calls
| | CT2                             :      0.583u      0.167s      0.553w    838 calls
CIWave: s1                          :      0.050u      0.133s      0.125w  48750 calls

**************************************************************************************

Host: Edens-MacBook-Air.local

Timers On : Wed Jul 21 14:42:08 2021
Timers Off: Wed Jul 21 15:08:51 2021

Wall Time:     1602.63 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: Edens-MacBook-Air.local

Timers On : Wed Jul 21 15:17:41 2021
Timers Off: Wed Jul 21 15:47:14 2021

Wall Time:     1772.62 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.083u      0.000s      0.068w      7 calls
DFH: initialize()                   :      0.300u      0.000s      0.197w      7 calls
DFH: AO Construction                :      0.000u      0.000s      0.001w      7 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.000w      7 calls
HF: Form core H                     :      0.000u      0.033s      0.021w      7 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      7 calls
HF: Guess                           :      0.433u      0.033s      0.339w      7 calls
SAD Guess                           :      0.400u      0.033s      0.320w      7 calls
HF: Form G                          :      0.000u      0.000s      0.003w     21 calls
JK: D                               :      0.000u      0.000s      0.000w     21 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     21 calls
JK: JK                              :      0.000u      0.000s      0.001w     21 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.001w     21 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     21 calls
DFH: compute_J                      :      0.000u      0.000s      0.000w     21 calls
DFH: compute_K                      :      0.000u      0.000s      0.000w     21 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     21 calls
HF: Form F                          :      0.000u      0.017s      0.002w     21 calls
HF: Form D                          :      0.000u      0.000s      0.000w     21 calls
HF: DIIS                            :      0.000u      0.000s      0.015w     14 calls
DIISManager::add_entry              :      0.000u      0.000s      0.005w     14 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.001w     14 calls
bMatrix setup                       :      0.000u      0.000s      0.000w     14 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.001w     14 calls
New vector                          :      0.000u      0.000s      0.000w     14 calls
HF: Form C                          :      0.000u      0.000s      0.000w     14 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.083u      0.000s      0.068w      7 calls
DFH: initialize()                   :      0.300u      0.000s      0.197w      7 calls
| DFH: AO Construction              :      0.000u      0.000s      0.001w      7 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.000w      7 calls
HF: Form core H                     :      0.000u      0.033s      0.021w      7 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      7 calls
HF: Guess                           :      0.433u      0.033s      0.339w      7 calls
| SAD Guess                         :      0.400u      0.033s      0.320w      7 calls
HF: Form G                          :      0.000u      0.000s      0.003w     21 calls
| JK: D                             :      0.000u      0.000s      0.000w     21 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     21 calls
| JK: JK                            :      0.000u      0.000s      0.001w     21 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.001w     21 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     21 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.000w     21 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.000w     21 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     21 calls
HF: Form F                          :      0.000u      0.017s      0.002w     21 calls
HF: Form D                          :      0.000u      0.000s      0.000w     21 calls
HF: DIIS                            :      0.000u      0.000s      0.015w     14 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.005w     14 calls
| DIISManager::extrapolate          :      0.000u      0.000s      0.001w     14 calls
| | bMatrix setup                   :      0.000u      0.000s      0.000w     14 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.001w     14 calls
| | New vector                      :      0.000u      0.000s      0.000w     14 calls
HF: Form C                          :      0.000u      0.000s      0.000w     14 calls

**************************************************************************************

Host: Edens-MacBook-Air.local

Timers On : Wed Jul 21 15:58:44 2021
Timers Off: Wed Jul 21 16:57:11 2021

Wall Time:     3135.30 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************
